,CONTROLNUM_0,CONTROLNUM_2,CONTROLNUM_3,Fam_support,Q513R,Q515R,Q702R_1,Q702R_3,ageyr10_1,earlymarriage_1,edpart_3,mcv1006,mcv1006a,mcv1006b,mcv1008,mcv1009,men_alcohol_all,sumdiffage_1
151,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
896,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
282,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0
966,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0
235,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
880,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1271,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
738,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1013,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1104,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0
1263,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
810,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7,0,0,1,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1
114,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1357,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
82,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
779,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
345,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
876,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
941,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0
915,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0
592,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0
1063,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0
239,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
316,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
553,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
1093,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,1,1,0
180,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0
549,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
588,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
1059,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
536,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,0
66,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
666,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1186,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
359,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
292,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
500,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
