,CONTROLNUM,Q702R,Q515R,Q513R,mcv1006,mcv1006a,mcv1006b,mcv1008,men_alcohol_all,mcv1009,earlymarriage,Fam_support,Q516R,edpart,rQ701d,rQ701b,rQ701a,sumdiffage,edresp,country,rQ701c,sQ601c,sQ601d,EP3,FCMAR,tQ602d,SourceIncome,ageyr10,justify,tQ602c
925,0,2,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,3,2,1,1,1,1,1,1,0,1,5,0,0
736,2,2,0,0,1,1,1,0,0,1,1,1,0,2,1,1,1,3,2,1,1,1,0,2,0,0,5,1,0,0
1327,3,2,0,0,0,0,1,0,0,0,0,1,0,2,1,1,1,2,2,1,1,0,1,3,0,0,2,3,0,0
375,2,2,0,0,1,0,0,0,0,1,9,1,0,2,1,1,1,3,2,1,1,0,1,4,9,0,5,1,0,0
954,0,1,0,1,0,0,0,0,0,0,0,1,0,3,1,1,1,4,2,1,1,1,1,4,0,0,5,2,0,0
213,3,2,0,0,1,0,0,0,0,0,0,1,0,3,1,1,1,3,3,1,1,1,1,2,0,0,3,2,0,0
691,3,3,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,1,2,1,0,1,0,1,0,1,4,5,0,0
1176,1,1,0,1,1,0,1,0,1,1,0,1,0,2,1,1,1,2,2,1,1,0,0,1,0,0,4,4,0,0
1122,1,3,0,0,0,0,0,0,1,0,1,1,0,2,1,1,1,2,2,1,1,1,1,2,0,0,2,1,0,0
127,1,1,0,0,0,0,1,1,0,1,0,1,0,2,1,1,1,4,2,1,1,1,1,1,0,0,4,2,0,0
341,2,2,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,4,1,1,1,1,1,2,0,1,4,4,0,0
412,1,2,1,0,0,0,0,0,0,1,1,1,0,3,1,1,1,3,2,1,0,0,1,1,0,0,3,3,0,0
64,1,3,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,4,1,1,1,1,1,1,0,1,3,3,1,0
692,3,2,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,1,2,0,0,2,3,0,0
1281,2,1,0,1,1,1,0,0,1,1,1,1,0,2,1,1,1,4,2,1,1,1,1,3,0,1,4,2,1,1
202,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,4,2,1,1,1,1,1,0,0,4,5,1,0
1089,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,2,2,1,1,0,1,1,0,0,4,4,0,0
792,0,2,0,0,0,0,0,0,1,1,1,1,0,2,1,1,1,3,2,1,1,1,1,2,0,0,3,2,0,0
380,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,1,1,2,2,1,1,1,1,1,0,0,4,4,0,0
1308,3,3,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,4,2,1,1,1,1,2,0,0,3,1,0,0
29,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,1,0,1,1,0,1,4,4,0,0
1121,0,2,0,0,1,0,0,0,1,0,0,1,0,3,1,1,1,1,2,1,1,0,0,1,0,1,4,3,0,0
974,2,2,0,0,1,0,0,0,1,1,1,1,0,2,1,1,1,4,2,1,0,1,0,2,0,0,4,1,1,0
261,0,1,1,0,0,1,1,0,0,1,1,1,0,2,1,1,1,2,3,1,1,1,1,2,1,0,5,5,0,0
914,1,1,0,0,0,1,1,0,0,1,0,1,0,2,1,1,1,3,2,1,1,1,1,1,0,1,2,3,1,0
1298,0,1,1,0,0,0,0,0,1,0,1,1,1,2,1,1,1,3,2,1,1,0,0,2,0,0,4,3,0,0
123,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,3,2,1,1,1,1,2,0,0,2,5,0,0
170,3,2,0,0,0,0,1,0,0,1,9,1,0,1,1,1,1,2,2,1,1,1,1,4,9,0,5,1,1,0
661,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,2,1,1,1,1,1,0,0,3,4,1,0
1319,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,4,2,1,1,0,1,1,0,1,3,3,0,0
410,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,3,2,1,1,1,1,1,0,0,2,2,0,0
1006,3,2,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,2,1,1,1,1,1,1,0,1,4,5,1,1
129,2,1,1,0,0,0,0,1,0,1,0,1,0,3,0,1,1,4,2,1,0,1,1,2,0,1,3,2,0,0
151,1,2,0,0,0,1,1,1,0,0,0,1,0,2,1,1,1,2,3,1,1,0,1,2,0,0,3,2,0,0
896,0,3,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,3,3,1,1,1,1,4,0,0,2,3,0,0
282,2,2,0,0,0,0,0,1,1,1,1,1,0,2,1,1,1,2,2,1,1,1,1,2,0,0,4,1,1,0
966,3,3,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,3,2,1,0,1,1,2,0,0,2,3,0,0
